Candle Compra: 3559, Candle Venda: 3563, Horário Compra: 2024-01-03 11:19:00, Horário Venda: 2024-01-03 11:23:00, Preço Compra: 210316, Preço Venda: 209475, Percentual: -0.4%
Candle Compra: 3573, Candle Venda: 3578, Horário Compra: 2024-01-03 11:33:00, Horário Venda: 2024-01-03 11:38:00, Preço Compra: 209256, Preço Venda: 208527, Percentual: -0.35%
Candle Compra: 3580, Candle Venda: 3621, Horário Compra: 2024-01-03 11:40:00, Horário Venda: 2024-01-03 12:21:00, Preço Compra: 208883, Preço Venda: 209353, Percentual: 0.23%
Candle Compra: 3628, Candle Venda: 3697, Horário Compra: 2024-01-03 12:28:00, Horário Venda: 2024-01-03 13:37:00, Preço Compra: 209848, Preço Venda: 214111, Percentual: 2.03%
Candle Compra: 3713, Candle Venda: 3725, Horário Compra: 2024-01-03 13:53:00, Horário Venda: 2024-01-03 14:05:00, Preço Compra: 213301, Preço Venda: 212881, Percentual: -0.2%
Candle Compra: 3730, Candle Venda: 3736, Horário Compra: 2024-01-03 14:10:00, Horário Venda: 2024-01-03 14:16:00, Preço Compra: 212984, Preço Venda: 211988, Percentual: -0.47%
Candle Compra: 3746, Candle Venda: 3766, Horário Compra: 2024-01-03 14:26:00, Horário Venda: 2024-01-03 14:46:00, Preço Compra: 212222, Preço Venda: 212054, Percentual: -0.08%
Candle Compra: 3776, Candle Venda: 3805, Horário Compra: 2024-01-03 14:56:00, Horário Venda: 2024-01-03 15:25:00, Preço Compra: 212240, Preço Venda: 212330, Percentual: 0.04%
Candle Compra: 3821, Candle Venda: 3836, Horário Compra: 2024-01-03 15:41:00, Horário Venda: 2024-01-03 15:56:00, Preço Compra: 211384, Preço Venda: 209631, Percentual: -0.83%
Candle Compra: 3845, Candle Venda: 3886, Horário Compra: 2024-01-03 16:05:00, Horário Venda: 2024-01-03 16:46:00, Preço Compra: 210257, Preço Venda: 210974, Percentual: 0.34%
Candle Compra: 3902, Candle Venda: 3906, Horário Compra: 2024-01-03 17:02:00, Horário Venda: 2024-01-03 17:06:00, Preço Compra: 211090, Preço Venda: 210590, Percentual: -0.24%
Candle Compra: 3914, Candle Venda: 3943, Horário Compra: 2024-01-03 17:14:00, Horário Venda: 2024-01-03 17:43:00, Preço Compra: 210735, Preço Venda: 211294, Percentual: 0.27%
Candle Compra: 3957, Candle Venda: 3968, Horário Compra: 2024-01-03 17:57:00, Horário Venda: 2024-01-03 18:08:00, Preço Compra: 211502, Preço Venda: 211152, Percentual: -0.17%
Candle Compra: 3975, Candle Venda: 4028, Horário Compra: 2024-01-03 18:15:00, Horário Venda: 2024-01-03 19:08:00, Preço Compra: 212038, Preço Venda: 212626, Percentual: 0.28%
Candle Compra: 4059, Candle Venda: 4060, Horário Compra: 2024-01-03 19:39:00, Horário Venda: 2024-01-03 19:40:00, Preço Compra: 211967, Preço Venda: 211706, Percentual: -0.12%
Candle Compra: 4066, Candle Venda: 4082, Horário Compra: 2024-01-03 19:46:00, Horário Venda: 2024-01-03 20:02:00, Preço Compra: 212045, Preço Venda: 211869, Percentual: -0.08%
Candle Compra: 4097, Candle Venda: 4124, Horário Compra: 2024-01-03 20:17:00, Horário Venda: 2024-01-03 20:44:00, Preço Compra: 211836, Preço Venda: 211990, Percentual: 0.07%
